Festival_ID;Festival_Name;Location;Country;Genre;Visitor;Date;Description,,,
G4874;Glastonbury Festival;Somerset;UK;Various;200000;07-02-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
T5682;Tomorrowland;Boom;Belgium;EDM;400000;09-11-2023;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
S5650;Sziget Festival;Budapest;Hungary;Various;500000;20-12-2021;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
R8571;Rock am Ring;Nürburg;Germany;Rock;90000;16-12-2024;Festival rock terbesar menampilkan band-band rock dan metal ternama.,,,
R8202;Roskilde Festival;Roskilde;Denmark;Alternative;130000;19-09-2023;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
R1567;Reading Festival;Reading;UK;Rock/Indie;100000;16-12-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
P6116;Paris Jazz Festival;Paris;France;Jazz;60000;05-03-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
B9598;Benicàssim Festival;Benicàssim;Spain;Pop/Indie;40000;04-01-2023;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
E8538;Exit Festival;Novi Sad;Serbia;Electronic/Rock;200000;28-07-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
P4306;Primavera Sound;Barcelona;Spain;Indie/Electronic;200000;21-01-2021;Festival musik indie dan alternatif menghadirkan musisi internasional dan lokal dengan latar pemandangan pantai yang indah,,,
L9742;Lollapalooza Berlin;Berlin;Germany;Alternative;100000;24-10-2023;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
P6249;Pukkelpop;Hasselt;Belgium;Various;200000;05-04-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
A2686;Arenal Sound;Burriana;Spain;Pop/Rock;150000;10-05-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
D8516;Dour Festival;Dour;Belgium;Rock/Electronic;200000;06-05-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
R4744;Rock Werchter;Werchter;Belgium;Rock;150000;12-09-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S7776;Sonar Festival;Barcelona;Spain;Electronic;100000;16-04-2023;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
W5677;Wacken Open Air;Wacken;Germany;Metal;75000;21-06-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T1809;T in the Park;Strathallan Castle;UK;Rock/Pop;80000;27-05-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M3458;Mysteryland;Haarlem;Netherlands;EDM;90000;05-12-2020;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
K3486;Kendal Calling;Kendal;UK;Indie/Alternative;40000;19-07-2021;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
L4396;Latitude Festival;Suffolk;UK;Various;45000;16-06-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
N7498;Nass Festival;Shepton Mallet;UK;Various;30000;02-03-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
G3714;Green Man Festival;Brecon Beacons;UK;Indie/Folk;25000;06-09-2021;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
S1492;Summer Breeze;Feucht;Germany;Metal/Hardcore;40000;27-05-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
P1524;Parklife Festival;Manchester;UK;Electronic/Indie;80000;23-11-2021;Festival musik indie dan alternatif menghadirkan musisi internasional dan lokal dengan latar pemandangan pantai yang indah,,,
E7170;Electric Daisy Carnival;London;UK;EDM;60000;04-08-2023;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
S4707;Splendour in the Grass;Bendigo;Australia;Indie/Electronic;40000;24-02-2020;Festival musik indie dan alternatif menghadirkan musisi internasional dan lokal dengan latar pemandangan pantai yang indah,,,
C5724;Creamfields;Cheshire;UK;EDM;70000;05-06-2023;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
M9475;Montreux Jazz Festival;Montreux;Switzerland;Jazz/Blues;20000;03-12-2022;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
N6030;Nyege Nyege Festival;Jinja;Uganda;Afrobeat/Electronic;20000;20-10-2023;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
